,Hardware ID,Date,Monthly Units Produced,Total Failed Units,Total Functional Units,Hash Rate per Unit (TH/s),GH/J,Total Possible Hash Rate,time,values,Cumulative Possible Hash,Residual Hash,Excess Units,Units in Use,Watts,MW,MWh
12,7997f56e-b970-4cd2-8c67-2198178ba1a8,2020-01-31 00:00:00+00:00,21428.571428571428,180.0720288115246,21250.0,95.0,29.23,2018750.0,2020-01-31 00:00:00+00:00,77259462.01292142,2018750.0,75240712.01292142,0.0,21250.0,69064317.482039,69.064317482039,49726.30858706808
30,rt90bd51-c97b-4419-a49b-12748d53v1y4,2020-01-31 00:00:00+00:00,2166.25,18.20378151260504,2148.1979166666665,90.0,26.31,193337.8125,2020-01-31 00:00:00+00:00,77259462.01292142,2212087.8125,75047374.20042142,0.0,2148.1979166666665,7348453.534777651,7.348453534777651,5290.886545039909
27,7f272cf8-70f6-427c-8882-c9c162368b44,2020-01-31 00:00:00+00:00,21428.571428571428,180.0720288115246,21250.0,86.0,26.31,1827500.0,2020-01-31 00:00:00+00:00,77259462.01292142,4039587.8125,73219874.20042142,0.0,21250.0,69460281.26187761,69.46028126187761,50011.40250855188
29,1259j56e-b970-4cd2-8c67-2198162iu1k4,2020-01-31 00:00:00+00:00,2280.263158,19.161875277310926,2261.260965016667,81.0,23.82,183162.13816635002,2020-01-31 00:00:00+00:00,77259462.01292142,4222749.95066635,73036712.06225507,0.0,2261.260965016667,7689426.455346348,7.689426455346347,5536.38704784937
11,dccfe8b1-2638-44cf-973b-3b411d5b0287,2020-01-31 00:00:00+00:00,21428.571428571428,180.0720288115246,269166.6666666667,54.5,22.22222222222222,14669583.333333334,2020-01-31 00:00:00+00:00,77259462.01292142,18892333.283999685,58367128.72892174,0.0,269166.6666666667,660131250.0,660.13125,475294.5
10,c2b455e2-93a1-4899-9f09-cd358a7351fb,2020-01-31 00:00:00+00:00,0.0,1.572389401559414e-45,123958.33333333334,54.5,22.22222222222222,6755729.166666667,2020-01-31 00:00:00+00:00,77259462.01292142,25648062.450666353,51611399.56225507,0.0,123958.33333333334,304007812.5,304.0078125,218885.625
26,cb067c5a-b980-4cc0-833e-e64f9cdc4141,2020-01-31 00:00:00+00:00,14285.714285714286,120.04801920768307,609166.6666666667,68.0,20.833333333333332,41423333.333333336,2020-01-31 00:00:00+00:00,77259462.01292142,67071395.78399969,10188066.228921734,0.0,609166.6666666667,1988320000.0000002,1988.3200000000002,1431590.4000000001
24,ed7e3712-231e-442a-a8ea-77ac6df21e6a,2020-01-31 00:00:00+00:00,0.0,1.2579115212475318e-46,9916.666666666666,50.0,20.833333333333332,495833.3333333333,2020-01-31 00:00:00+00:00,77259462.01292142,67567229.11733302,9692232.895588398,0.0,9916.666666666666,23800000.0,23.8,17136.0
28,b1802ck3-7qf6-417c-8p32-c9c16v3nc1v1,2020-01-31 00:00:00+00:00,1805.8,15.174789915966386,1790.7516666666668,63.0,19.23,112817.35500000001,2020-01-31 00:00:00+00:00,77259462.01292142,67680046.47233303,9579415.540588394,0.0,1790.7516666666668,5866737.12948518,5.86673712948518,4224.050733229329
9,df7b0c3d-c732-4413-8901-7ab14015a247,2020-01-31 00:00:00+00:00,0.0,1.509493825497038e-45,119000.0,28.0,17.543859649122805,3332000.0,2020-01-31 00:00:00+00:00,77259462.01292142,71012046.47233303,6247415.540588394,0.0,119000.0,189924000.0,189.924,136745.28
19,3b672dcb-4800-4441-b5ec-591bc5ec95db,2020-01-31 00:00:00+00:00,0.0,7.170095671110931e-46,56525.0,37.0,15.625,2091425.0,2020-01-31 00:00:00+00:00,77259462.01292142,73103471.47233303,4155990.540588394,0.0,56525.0,133851200.0,133.8512,96372.864
25,c6a782d1-ebdb-49ab-866d-65d147125115,2020-01-31 00:00:00+00:00,0.0,3.14477880311883e-46,24791.666666666668,33.0,15.384615384615383,818125.0,2020-01-31 00:00:00+00:00,77259462.01292142,73921596.47233303,3337865.540588394,0.0,24791.666666666668,53178125.0,53.178125,38288.25
4,6b93fe5e-ea42-4ecc-a9f4-7970fa379c58,2020-01-31 00:00:00+00:00,0.0,1.2579115212475319e-47,991.6666666666667,78.0,12.5,77350.0,2020-01-31 00:00:00+00:00,77259462.01292142,73998946.47233303,3260515.540588394,0.0,991.6666666666667,6188000.0,6.188,4455.36
21,3b347ac0-1240-438b-b0c5-d3455752e4c6,2020-01-31 00:00:00+00:00,0.0,2.012658433996051e-46,15866.666666666668,24.0,12.345679012345679,380800.0,2020-01-31 00:00:00+00:00,77259462.01292142,74379746.47233303,2879715.540588394,0.0,15866.666666666668,30844800.0,30.8448,22208.256
23,ebcb5642-6778-4184-9366-4e2cd0f9feb7,2020-01-31 00:00:00+00:00,0.0,1.2579115212475318e-46,9916.666666666666,24.0,12.195121951219512,238000.0,2020-01-31 00:00:00+00:00,77259462.01292142,74617746.47233303,2641715.540588394,0.0,9916.666666666666,19516000.0,19.516,14051.519999999999
18,d2ba2deb-c8a0-4d06-bda1-8b02db8a61c2,2020-01-31 00:00:00+00:00,0.0,2.0503957796334763e-45,161641.66666666666,20.0,11.76470588235294,3232833.333333333,2020-01-31 00:00:00+00:00,77259462.01292142,77850579.80566636,-591117.7927449346,-29555.889637246728,132085.77702941993,224545820.95001388,224.54582095001388,161672.99108401
22,8059dfb9-9032-4e48-af41-a266a946c4e5,2020-01-31 00:00:00+00:00,0.0,3.14477880311883e-46,24791.666666666668,16.0,10.869565217391305,396666.6666666667,2020-01-31 00:00:00+00:00,77259462.01292142,78247246.47233303,-987784.4594116062,-61736.52871322539,0.0,0.0,0.0,0.0
